time_ms,time,IC3
2019.531,2.019531,1.574811
2023.438,2.023438,2.98243
2027.344,2.027344,3.203048
2031.25,2.03125,2.237825
2035.156,2.035156,0.9670935
2039.062,2.039062,0.2791712
2042.969,2.042969,0.2460731
2046.875,2.046875,0.181278
2050.781,2.050781,-0.5193187
2054.688,2.054688,-1.694905
2058.594,2.058594,-2.618042
2062.5,2.0625,-2.862866
2066.406,2.066406,-2.781081
2070.312,2.070312,-2.979189
2074.219,2.074219,-3.440252
2078.125,2.078125,-3.40858
2082.031,2.082031,-2.221788
2085.938,2.085938,-0.1132529
2089.844,2.089844,1.932412
2093.75,2.09375,3.07147
2097.656,2.097656,3.191425
2101.562,2.101562,2.7236
2105.469,2.105469,2.131297
2109.375,2.109375,1.670228
2113.281,2.113281,1.434199
2117.188,2.117188,1.401174
2121.094,2.121094,1.431342
2125,2.125,1.388274
2128.906,2.128906,1.296736
2132.812,2.132812,1.277119
2136.719,2.136719,1.285908
2140.625,2.140625,1.014783
2144.531,2.144531,0.2250177
2148.438,2.148438,-0.8380389
2152.344,2.152344,-1.513892
2156.25,2.15625,-1.312948
2160.156,2.160156,-0.4605762
2164.062,2.164062,0.2242617
2167.969,2.167969,0.06163299
2171.875,2.171875,-0.8521862
2175.781,2.175781,-1.744759
2179.688,2.179688,-1.914449
2183.594,2.183594,-1.391362
2187.5,2.1875,-0.8339564
2191.406,2.191406,-0.7258956
2195.312,2.195312,-0.8166434
2199.219,2.199219,-0.4692932
2203.125,2.203125,0.5168036
2207.031,2.207031,1.618574
2210.938,2.210938,2.155499
2214.844,2.214844,1.976902
2218.75,2.21875,1.45877
2222.656,2.222656,0.9396949
2226.562,2.226562,0.4370959
2230.469,2.230469,-0.09145121
2234.375,2.234375,-0.504492
2238.281,2.238281,-0.6990234
2242.188,2.242188,-0.895983
2246.094,2.246094,-1.47213
2250,2.25,-2.471703
2253.906,2.253906,-3.483012
2257.812,2.257812,-4.144179
2261.719,2.261719,-4.538596
2265.625,2.265625,-4.917539
2269.531,2.269531,-5.099187
2273.438,2.273438,-4.434989
2277.344,2.277344,-2.551155
2281.25,2.28125,-0.003020398
2285.156,2.285156,2.004936
2289.062,2.289062,2.657087
2292.969,2.292969,2.215225
2296.875,2.296875,1.645041
2300.781,2.300781,1.615686
2304.688,2.304688,1.938694
2308.594,2.308594,2.000066
2312.5,2.3125,1.595772
2316.406,2.316406,1.164429
2320.312,2.320312,1.216599
2324.219,2.324219,1.73024
2328.125,2.328125,2.235902
2332.031,2.332031,2.374878
2335.938,2.335938,2.15624
2339.844,2.339844,1.697102
2343.75,2.34375,1.018341
2347.656,2.347656,0.2920671
2351.562,2.351562,0.02026281
2355.469,2.355469,0.5457252
2359.375,2.359375,1.357187
2363.281,2.363281,1.342756
2367.188,2.367188,0.0587821
2371.094,2.371094,-1.500014
2375,2.375,-1.804375
2378.906,2.378906,-0.5009619
2382.812,2.382812,1.191901
2386.719,2.386719,1.930697
2390.625,2.390625,1.689147
2394.531,2.394531,1.495943
2398.438,2.398438,1.992623
2402.344,2.402344,2.752329
2406.25,2.40625,3.078461
2410.156,2.410156,2.917073
2414.062,2.414062,2.62922
2417.969,2.417969,2.249403
2421.875,2.421875,1.51553
2425.781,2.425781,0.5362374
2429.688,2.429688,-0.1352015
2433.594,2.433594,-0.2793544
2437.5,2.4375,-0.3934489
2441.406,2.441406,-0.8968827
2445.312,2.445312,-1.279513
2449.219,2.449219,-0.642637
2453.125,2.453125,0.9002911
2457.031,2.457031,1.982191
2460.938,2.460938,1.539776
2464.844,2.464844,0.2069484
2468.75,2.46875,-0.3621569
2472.656,2.472656,0.5988542
2476.562,2.476562,2.279086
2480.469,2.480469,3.609321
2484.375,2.484375,4.602641
2488.281,2.488281,5.874637
2492.188,2.492188,7.235225
2496.094,2.496094,7.52724
2500,2.5,6.037016
2503.906,2.503906,3.532315
2507.812,2.507812,1.475558
2511.719,2.511719,0.4705756
2515.625,2.515625,-0.03736937
2519.531,2.519531,-0.6174858
2523.438,2.523438,-1.001539
2527.344,2.527344,-0.6674783
2531.25,2.53125,0.2153248
2535.156,2.535156,0.8957137
2539.062,2.539062,0.9941422
2542.969,2.542969,0.9454224
2546.875,2.546875,1.341775
2550.781,2.550781,2.16911
2554.688,2.554688,2.900825
2558.594,2.558594,3.175564
2562.5,2.5625,3.086289
2566.406,2.566406,2.873838
2570.312,2.570312,2.628823
2574.219,2.574219,2.374256
2578.125,2.578125,2.226667
2582.031,2.582031,2.261934
2585.938,2.585938,2.325754
2589.844,2.589844,2.162309
2593.75,2.59375,1.731907
2597.656,2.597656,1.256322
2601.562,2.601562,0.9471999
2605.469,2.605469,0.8136884
2609.375,2.609375,0.7838341
2613.281,2.613281,0.9015979
2617.188,2.617188,1.270033
2621.094,2.621094,1.851406
2625,2.625,2.433983
2628.906,2.628906,2.788611
2632.812,2.632812,2.8072
2636.719,2.636719,2.533858
2640.625,2.640625,2.187122
2644.531,2.644531,2.167245
2648.438,2.648438,2.849936
2652.344,2.652344,4.125513
2656.25,2.65625,5.21314
2660.156,2.660156,5.159829
2664.062,2.664062,3.707596
2667.969,2.667969,1.668569
2671.875,2.671875,0.283697
2675.781,2.675781,0.2000289
2679.688,2.679688,1.018974
2683.594,2.683594,1.797497
2687.5,2.6875,1.938959
2691.406,2.691406,1.579278
2695.312,2.695312,1.251476
2699.219,2.699219,1.313286
2703.125,2.703125,1.703111
2707.031,2.707031,2.1153
2710.938,2.710938,2.318807
2714.844,2.714844,2.31581
2718.75,2.71875,2.291264
2722.656,2.722656,2.472627
2726.562,2.726562,2.952719
2730.469,2.730469,3.540551
2734.375,2.734375,3.770447
2738.281,2.738281,3.176567
2742.188,2.742188,1.748689
2746.094,2.746094,0.1261144
2750,2.75,-0.8214806
2753.906,2.753906,-0.7394173
2757.812,2.757812,-0.1140272
2761.719,2.761719,0.2450718
2765.625,2.765625,0.03844196
2769.531,2.769531,-0.2901157
2773.438,2.773438,-0.1560677
2777.344,2.777344,0.4823196
2781.25,2.78125,1.173098
2785.156,2.785156,1.57048
2789.062,2.789062,1.740349
2792.969,2.792969,1.818879
2796.875,2.796875,1.634886
2800.781,2.800781,0.9637366
2804.688,2.804688,0.09679088
2808.594,2.808594,-0.178573
2812.5,2.8125,0.6548504
2816.406,2.816406,2.165579
2820.312,2.820312,3.278121
2824.219,2.824219,3.313154
2828.125,2.828125,2.560536
2832.031,2.832031,1.837219
2835.938,2.835938,1.631407
2839.844,2.839844,1.825875
2843.75,2.84375,2.119435
2847.656,2.847656,2.409124
2851.562,2.851562,2.680272
2855.469,2.855469,2.749786
2859.375,2.859375,2.393662
2863.281,2.863281,1.713105
2867.188,2.867188,1.13465
2871.094,2.871094,0.9141086
2875,2.875,0.8032683
2878.906,2.878906,0.3970538
2882.812,2.882812,-0.2472509
2886.719,2.886719,-0.5977675
2890.625,2.890625,-0.349422
2894.531,2.894531,0.08419967
2898.438,2.898438,0.005603492
2902.344,2.902344,-0.7016671
2906.25,2.90625,-1.388
2910.156,2.910156,-1.401855
2914.062,2.914062,-0.8556338
2917.969,2.917969,-0.4117499
2921.875,2.921875,-0.4222009
2925.781,2.925781,-0.5475646
2929.688,2.929688,-0.2877485
2933.594,2.933594,0.2818453
2937.5,2.9375,0.5869573
2941.406,2.941406,0.325583
2945.312,2.945312,-0.06422937
2949.219,2.949219,0.1243627
2953.125,2.953125,0.992606
2957.031,2.957031,1.853816
2960.938,2.960938,1.945524
2964.844,2.964844,1.261896
2968.75,2.96875,0.5471767
2972.656,2.972656,0.4374985
2976.562,2.976562,0.7253304
2980.469,2.980469,0.6269131
2984.375,2.984375,-0.221386
2988.281,2.988281,-1.187713
2992.188,2.992188,-1.227318
2996.094,2.996094,-0.08363688
3000,3,1.27555
3003.906,3.003906,1.565768
3007.812,3.007812,0.5122954
3011.719,3.011719,-0.8602161
3015.625,3.015625,-1.291342
3019.531,3.019531,-0.5149019
3023.438,3.023438,0.6183155
3027.344,3.027344,1.128067
3031.25,3.03125,0.8213829
3035.156,3.035156,0.243344
3039.062,3.039062,-0.05421102
3042.969,3.042969,-0.02029799
3046.875,3.046875,0.01212126
3050.781,3.050781,-0.2888013
3054.688,3.054688,-1.019512
3058.594,3.058594,-2.008995
3062.5,3.0625,-2.871934
3066.406,3.066406,-3.189854
3070.312,3.070312,-2.739259
3074.219,3.074219,-1.611312
3078.125,3.078125,-0.156126
3082.031,3.082031,1.179492
3085.938,3.085938,1.929291
3089.844,3.089844,1.715763
3093.75,3.09375,0.584319
3097.656,3.097656,-0.7252747
3101.562,3.101562,-1.114824
3105.469,3.105469,-0.06682806
3109.375,3.109375,1.74437
3113.281,3.113281,3.029072
3117.188,3.117188,3.153883
3121.094,3.121094,2.691538
3125,3.125,2.574061
3128.906,3.128906,2.885433
3132.812,3.132812,2.80759
3136.719,3.136719,1.751625
3140.625,3.140625,0.2082019
3144.531,3.144531,-0.751232
3148.438,3.148438,-0.6482598
3152.344,3.152344,-0.003187362
3156.25,3.15625,0.4297972
3160.156,3.160156,0.5119493
3164.062,3.164062,0.6188806
3167.969,3.167969,0.916374
3171.875,3.171875,1.079784
3175.781,3.175781,0.8376433
3179.688,3.179688,0.5117928
3183.594,3.183594,0.7139907
3187.5,3.1875,1.543787
3191.406,3.191406,2.300064
3195.312,3.195312,2.151433
3199.219,3.199219,1.085325
3203.125,3.203125,0.000826627
3207.031,3.207031,-0.1908067
3210.938,3.210938,0.5202712
3214.844,3.214844,1.289307
3218.75,3.21875,1.351729
3222.656,3.222656,0.7679648
3226.562,3.226562,0.2127384
3230.469,3.230469,0.1362444
3234.375,3.234375,0.3627813
3238.281,3.238281,0.5246727
3242.188,3.242188,0.6103069
3246.094,3.246094,0.8699781
3250,3.25,1.265848
3253.906,3.253906,1.346259
3257.812,3.257812,0.7842845
3261.719,3.261719,-0.1000279
3265.625,3.265625,-0.6153169
3269.531,3.269531,-0.4871309
3273.438,3.273438,-0.1064639
3277.344,3.277344,0.04370581
3281.25,3.28125,0.02044663
3285.156,3.285156,0.2727863
3289.062,3.289062,0.9437717
3292.969,3.292969,1.583276
3296.875,3.296875,1.650141
3300.781,3.300781,1.116496
3304.688,3.304688,0.4373732
3308.594,3.308594,0.02524282
3312.5,3.3125,-0.07870126
3316.406,3.316406,0.006266892
3320.312,3.320312,0.288099
3324.219,3.324219,0.8480363
3328.125,3.328125,1.599142
3332.031,3.332031,2.271462
3335.938,3.335938,2.653011
3339.844,3.339844,2.6719
3343.75,3.34375,2.252439
3347.656,3.347656,1.30146
3351.562,3.351562,0.03068483
3355.469,3.355469,-0.8639272
3359.375,3.359375,-0.7180624
3363.281,3.363281,0.2854073
3367.188,3.367188,1.061283
3371.094,3.371094,0.692433
3375,3.375,-0.502195
3378.906,3.378906,-1.242491
3382.812,3.382812,-0.7433853
3386.719,3.386719,0.3777671
3390.625,3.390625,0.8879881
3394.531,3.394531,0.4219533
3398.438,3.398438,-0.179251
3402.344,3.402344,-0.04612559
3406.25,3.40625,0.6083973
3410.156,3.410156,0.8426687
3414.062,3.414062,0.2820061
3417.969,3.417969,-0.3899248
3421.875,3.421875,-0.3319584
3425.781,3.425781,0.384273
3429.688,3.429688,0.8686455
3433.594,3.433594,0.477605
3437.5,3.4375,-0.494911
